PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AbsAC30_Qualifier,AbsAC30_uM,pAbsAC30_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AbsAC30_Qualifier_TEST1,AbsAC30_uM_TEST1,pAbsAC30_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.16uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_1.2uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_10uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AbsAC30_Qualifier_TEST2,AbsAC30_uM_TEST2,pAbsAC30_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.12uM_(%)_TEST2,Activity_at_0.135uM_(%)_TEST2,Activity_at_0.15uM_(%)_TEST2,Activity_at_0.16uM_(%)_TEST2,Activity_at_0.18uM_(%)_TEST2,Activity_at_0.26uM_(%)_TEST2,Activity_at_0.285uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.35uM_(%)_TEST2,Activity_at_0.5uM_(%)_TEST2,Activity_at_0.56uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_0.68uM_(%)_TEST2,Activity_at_1uM_(%)_TEST2,Activity_at_1.1uM_(%)_TEST2,Activity_at_1.2uM_(%)_TEST2,Activity_at_1.35uM_(%)_TEST2,Activity_at_2.1uM_(%)_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_2.6uM_(%)_TEST2,Activity_at_2.85uM_(%)_TEST2,Activity_at_4.2uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_5uM_(%)_TEST2,Activity_at_5.6uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_10uM_(%)_TEST2,Activity_at_11uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_19.5uM_(%)_TEST2,Activity_at_21uM_(%)_TEST2,Activity_at_23.5uM_(%)_TEST2
446,134214933,53385059,CC1=C(C2=CC=CC=C2N1)CC(=O)NC3=CC(=C(C=C3)N(C)C4=CN=CC=C4)C5=CC(=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Inactive,0,,,,,,1,0,,,,,,3.12035,3.12035,13,29.236,0.16,19.5,29.236,10.873,10.205,5.483,4.957,6.467,-16.886,-18.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,26658518,1914589,CC(C)CCN1C2=C(C=C(C=C2)CC(=O)N)C3=CC=CC=C31,Inactive,0,,,,,,1,0,,,,,,-6.35445,-6.35445,9,-16.762,10,19.5,5.883,2.123,-15.39,,,-4.782,-16.762,-14.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,47203828,673503,CC1=C(C=C(C=C1)NC(=O)C2=CC3=C(C=C2)OCO3)Cl,Inactive,0,,,,,,1,0,,,,,,-0.737034,-0.737034,13,14.058,0.6,19.5,0.093,10.002,14.058,-8.229,-5.472,-8.035,-3.398,-1.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,26732266,16746428,C[C@@H]1CC=C[C@H]2[C@H]1C(=O)N([C@H]2C3=C(C=CC(=C3)Br)OC)CC4=CC=CC=C4,Inactive,0,,,,,,1,0,,,,,,-3.25463,-3.25463,15,-20.346,19.5,19.5,0.481,-5.438,-10.139,4.311,3.252,15.287,-4.174,-20.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,49728337,978415,CC1=CC(=C(C=C1)OC)N(CC(=O)NC2=CC=C(C=C2)S(=O)(=O)N3CCOCC3)S(=O)(=O)C,Inactive,0,,,,,,1,0,,,,,,-0.752906,-0.752906,13,-21.324,0.6,19.5,-15.34,13.444,-21.324,-2.32,14.367,6.981,2.272,-13.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,103073583,4907318,CC1=C(C(=O)OC2=CC(=C(C=C12)Cl)OCC(=O)NCCCN3CCCC3=O)C,Inactive,0,,,,,,1,0,,,,,,17.0629,17.0629,13,30.794,19.5,19.5,21.908,8.581,10.723,18.375,23.637,3.053,12.545,30.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,49649804,24748035,COC1=CC(=CC(=C1)C(=O)NC2=CC3=C(C=C2)N=C4CCCCN4C3=O)OC,Inactive,0,,,,,,1,0,,,,,,0.0536425,0.0536425,13,-19.751,0.16,19.5,-19.751,9.522,11.414,-0.201,-2.575,-6.807,7.888,-7.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,99361129,24265869,C1COC2=CC3=NC(=C(C=C3C=C2O1)C#N)Cl,Inactive,0,,,,,,1,0,,,,,,8.91983,8.91983,14,24.817,2.6,19.5,-22.879,9.783,20.355,18.015,24.817,3.843,18.352,-12.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,99455968,4800604,COC1=C(C=C(C=C1)S(=O)(=O)N2CCCCCC2)NC(=O)CC3=CC(=CC=C3)C(F)(F)F,Inactive,0,,,,,,1,0,,,,,,10.2451,10.2451,13,36.427,0.3,19.5,-2.617,36.427,25.251,24.528,4.437,-4.359,9.256,-4.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,47197903,23723876,COCCNC(=O)CCC1CCN(CC1)C/C=C/C2=CC=CC=C2OC,Active,47,,,=,19.27,4.715,2,47,,=,19.27,4.715,4,0,100,13,31.167,19.5,19.5,12.536,,-2.872,-2.711,5.704,0.23,-2.597,31.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,85147439,44143224,CN(C)CCCNC1=CC(=C2C(=C1)C=CC=N2)O.C(=O)(C(F)(F)F)O,Inactive,0,,,,,,1,0,,,,,,4.11752,4.11752,13,25.471,0.3,19.5,-12.724,25.471,8.501,-3.033,-0.872,6.612,0.726,-6.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,49645951,24747375,COC1=CC=C(C=C1)CN2[C@H](C3=C(S2(=O)=O)C=CC(=C3)C(F)(F)F)CC(=O)OC,Inactive,0,,,,,,1,0,,,,,,6.48931,6.48931,16,15.306,1.2,19.5,-6.105,-7.76,4.941,15.306,9.772,11.623,9.526,14.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,17516513,2353446,CCN1C2=C(C=C(C=C2)NC(=O)COC(=O)C3=CC(=C(C=C3OC)OC)OC)C4=CC=CC=C41,Inactive,0,,,,,,1,0,,,,,,0.558926,0.558926,12,14.741,0.16,19.5,14.741,-2.033,-7.207,-3.168,-13.911,,-0.681,7.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,7968395,5309383,C1CC2=CC=CC=C2N(C1)C(=O)C3=NOC(=C3)C4=CC=CS4,Inactive,0,,,,,,1,0,,,,,,21.2582,21.2582,14,40.556,2.6,19.5,9.645,8.119,8.905,32.553,40.556,27.985,-2.773,26.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,56316200,17429919,CCOC1=CC=C(C=C1)OCC(=O)N(C)C2=C(N(C(=O)NC2=O)CC3=CC=CC=C3)N,Inactive,0,,,,,,1,0,,,,,,9.69254,9.69254,14,42.614,0.16,19.5,42.614,9.546,7.878,4.718,-7.182,11.554,-9.918,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,22415209,803376,CCC1=CC(=CC=C1)OCCN2CCCC2,Inactive,0,,,,,,1,0,,,,,,-0.661372,-0.661372,14,-12.21,5,19.5,3.507,4.179,2.961,-0.527,5.427,-12.21,-11.475,-8.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,7964559,3252879,CC1=CC2=C(C=C1)OCC(=O)N2CCCC(=O)NCC3=CC4=C(C=C3)OCO4,Inactive,0,,,,,,1,0,,,,,,8.85144,8.85144,15,16.574,0.16,19.5,16.574,6.541,12.066,4.682,15.304,-0.231,7.425,11.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,50086014,24856251,C[C@H]1CN=C(N1CC2CCC(CC2)C)NC3=CC=CC=C3,Inactive,0,,,,,,1,0,,,,,,-7.25222,-7.25222,14,-24.456,0.16,19.5,-24.456,-2.623,-7.949,-6.105,3.146,-0.855,-4.366,-6.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,49736323,24793747,CCN1C2=C(C=C(C(=C2)NC(=O)C3=CC=C(C=C3)C)N4CCCC4)N(C1=O)CC,Inactive,0,,,,,,1,0,,,,,,-3.03431,-3.03431,11,-11.872,19.5,19.5,-10.349,-3.753,6.607,4.649,-4.709,5.587,-1.479,-11.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,89851320,2620775,C1C[C@H](N(C1)C(=O)C2=CC=CS2)C(=O)OCC(=O)NC3=C(C=CS3)C(=O)N,Active,50,,,=,11.04,4.957,2,50,,=,11.04,4.957,0.764,0,100,12,38.703,10,19.5,-14.776,3.596,-3.006,5.588,9.39,21.653,38.703,32.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,103060552,49786668,CCCC/C=C/C1=CC=CC2=NN=CN21,Inactive,0,,,,,,1,0,,,,,,1.60813,1.60813,11,-9.92,19.5,19.5,3.749,-0.958,6.998,-3.905,8.255,-1.323,3.931,-9.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,24811559,531835,COC1=CC=CC(=C1)C(=O)N2CCOCC2,Inactive,0,,,,,,1,0,,,,,,7.98647,7.98647,12,23.285,0.16,19.5,23.285,0.85,-0.637,13.745,-1.143,-13.625,13.259,18.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,49823379,4909682,CCC1=CC(=O)OC2=C1C=CC(=C2)OCC(=O)NC3CC(NC(C3)(C)C)(C)C,Inactive,0,,,,,,1,0,,,,,,5.68218,5.68218,15,36.154,0.16,19.5,36.154,9.372,-4.261,10.67,5.841,-5.271,-7.735,3.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,124754884,17756860,CC1=CC(=CC=C1)C(=O)N2CCC(=O)N(CC2)[C@@H](CC3=CC=CC=C3)COCC4=CC=C(C=C4)Cl,Inactive,0,,,,,,1,0,,,,,,0.807317,0.807317,12,20.438,0.3,19.5,-7.687,20.438,1.536,-0.282,-0.809,-2.795,4.483,-2.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,99456413,46943825,COC1=CC(=CC(=C1)CNC2=NC=CN3C2=NC=C3)OC,Inactive,0,,,,,,1,0,,,,,,3.75706,3.75706,13,14.67,0.3,19.5,3.793,14.67,3.668,-1.223,0.914,0.183,1.289,9.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,99356675,46902591,C1CCC(CC1)CN2C[C@@H]([C@H](C[C@@H]2C3=CC=C(C=C3)Cl)N4C=C(N=N4)C5CC5)O,Inactive,0,,,,,,1,0,,,,,,13.4907,13.4907,15,34.962,0.3,19.5,21.361,34.962,13.481,5.29,10.383,2.508,-4.181,34.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,56462863,25102461,C[C@]12[C@H]([C@H]3COC4=C([C@@H]3N1C(=O)C5=C(C=CC(=C5)OC)NC2=O)C=CC(=C4)OC)C6=CC=CC=C6,Inactive,0,,,,,,1,0,,,,,,5.70022,5.70022,16,-19.243,19.5,19.5,13.051,14.15,15.922,11.764,1.853,11.03,-2.925,-19.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,22406464,2381017,CN(C)C1=CC=CC(=C1)C(=O)NC2=C(C=CC(=C2)C(F)(F)F)N3C=NC4=CC=CC=C43,Inactive,0,,,,,,1,0,,,,,,22.9807,22.9807,12,30.578,10,19.5,29.964,23.282,29.973,,15.047,25.946,30.578,-10.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,49721627,24791786,CSC1=CC=CC=C1OCC2=CC(=NO2)C(=O)N3CCC4=C(C3C5=CC=CC=N5)N=CN4,Active,50,,,=,9.97,5.001,2,50,,=,9.97,5.001,0.5,0,100,12,36.711,10,19.5,-0.404,11.456,4.163,1.698,21.435,35.399,36.711,24.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,99454587,46942815,COC1=CC=C(C=C1)C(=O)N2CCCCC2C3=CC(=NO3)C(=O)NCC4=CN=CC=C4,Inactive,0,,,,,,1,0,,,,,,-1.50244,-1.50244,11,-19.164,19.5,19.5,6.773,7.775,,11.181,-10.13,5.799,-6.585,-19.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,49642187,2854457,CC1=C(C(NC(=O)N1)C2=CC=CC=C2F)C(=O)OCC3=CC=C(C=C3)OC,Inactive,0,,,,,,1,0,,,,,,-0.984031,-0.984031,14,-13.128,2.6,19.5,9.007,5.762,-10.4,-7.995,-13.128,-1.754,0.86,4.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,103076633,49791308,CC(C1=CC(=C(C=C1)F)F)(C2=NC(=CS2)C3=CC(=C(C=C3)OC)OC)O,Inactive,0,,,,,,1,0,,,,,,-8.09846,-8.09846,12,-25.003,0.16,19.5,-25.003,-17.535,-16.526,1.561,1.088,,2.232,-6.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,49718344,24790123,CN(C)C1=CC=CC(=C1)C(=O)N2CCCC(C2)CCC(=O)N(C)CCC3=CC=CC=N3,Inactive,0,,,,,,1,0,,,,,,-11.3396,-11.3396,13,-30.546,5,19.5,-1.241,-10.273,-10.233,1.305,-13.589,-30.546,-17.944,-10.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,99456187,46943672,COC1=CC=C(C=C1)S(=O)(=O)N2CCCCC2C3=CC(=NO3)C(=O)NC4=CC=CC=C4,Inactive,0,,,,,,1,0,,,,,,5.90555,5.90555,14,22.976,19.5,19.5,18.488,-1.172,4.552,-0.98,-3.507,11.99,-5.599,22.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,7968118,5309232,C1CC(=O)N(C1C(=O)NCCCN2CCOCC2)CCC3=CC=CC=C3,Inactive,0,,,,,,1,0,,,,,,0.296415,0.296415,14,25.009,0.3,19.5,-18.795,25.009,-4.521,16.091,-4.207,-1.589,-8.997,2.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,85201903,16247594,C1CN(CCN1CC(COCC2=CC=CC=C2)O)S(=O)(=O)C3=CC=CC(=C3)C(F)(F)F.C(=O)(C(=O)O)O,Inactive,0,,,,,,1,0,,,,,,5.94478,5.94478,16,19.627,10,19.5,6.407,-5.233,3.214,1.672,15.606,11.107,19.627,-4.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,125305905,53383235,COC1=CC=C(C=C1)C(C(=O)NCC2=CC=CC=C2)N3C4=CC=CC=C4N=C3C5=CC=NC=C5,Inactive,0,,,,,,1,0,,,,,,2.28286,2.28286,13,13.155,0.16,19.5,13.155,-4.904,7.536,-3.904,-4.117,4.56,-3.818,10.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,125306156,53383483,CC1=NC2=CC=CC=C2N1C(C3=CN=CC=C3)C4=NC5=CC=CC=C5N4,Inactive,0,,,,,,1,0,,,,,,-0.381459,-0.381459,12,-8.836,0.16,19.5,-8.836,-2.973,-3.831,-2.083,7.892,4.054,-2.938,4.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,99495252,46948507,CC1=C(C=CC(=N1)C(F)(F)F)C(=O)N2CCC2(C)C(=O)NCC3=CC=C(C=C3)Cl,Inactive,0,,,,,,1,0,,,,,,-1.99892,-1.99892,13,-12.381,5,19.5,2.854,-0.569,5.194,-3.258,-9.093,-12.381,10.367,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,49825481,24818958,CC1=C2CCCC2=NC(=N1)CCNC(=O)CC3C(=O)NCCN3CC(C)C,Inactive,0,,,,,,1,0,,,,,,7.28874,7.28874,12,29.496,10,19.5,27.192,21.147,10.594,-5.569,-2.37,0.579,29.496,3.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,49672979,16321714,C1CN(CCN1CC2=CC=C(C=C2)C#N)C(=O)CC(C3=CC=CC=C3)NC(=O)C4=CC=CC=C4,Inactive,0,,,,,,1,0,,,,,,4.24677,4.24677,10,15.851,0.16,19.5,15.851,,-0.626,2.98,,8.296,,-5.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,7965858,5307875,CC1CC(CN(C1)S(=O)(=O)C2=CC3=C(C=C2)OC(=C3C)C(=O)NCC4=CN=CC=C4)C,Inactive,0,,,,,,1,0,,,,,,0.448748,0.448748,13,-9.842,1.2,19.5,4.857,0.459,-1.138,-9.842,3.19,,-0.149,5.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,125305684,53383016,CC1=C(C(=CC=C1)C)NC(=O)C2(CSCC(=O)N2CC3=CC(=CC=C3)C(F)(F)F)C,Inactive,0,,,,,,1,0,,,,,,8.09846,8.09846,14,24.606,0.3,19.5,1.346,24.606,2.394,24.296,17.673,-2.068,-0.254,-22.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,124754809,53300756,CC1(CCC(=O)N1CC2=CC=C(C=C2)OC)C3=NN=NN3CC4=CC=CC=C4,Inactive,0,,,,,,1,0,,,,,,11.3641,11.3641,14,36.54,1.2,19.5,6.165,21.416,29.029,36.54,11.938,3.724,-2.066,-2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,57258888,25162849,CC1=CC(=NC=C1)NC(=O)C(CC2=CC=CC=C2)NC(=O)C3=CC=CC=C3,Inactive,0,,,,,,1,0,,,,,,-1.41131,-1.41131,10,15.583,0.6,19.5,-12.771,-11.538,15.583,4.494,5.393,-6.114,0.742,-3.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,125306066,53383393,C1CC1C(C(=O)NC2=CC3=CC=CC=C3C=C2)N4C5=CC=CC=C5N=C(C4=O)C6=CC7=CC=CC=C7N6,Inactive,0,,,,,,1,0,,,,,,-15.3082,-15.3082,10,-28.987,10,19.5,-9.509,-2.867,,-13.397,-19.083,-27.671,-28.987,-19.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,49724867,16296860,CN(C)C(CNC(=O)C1=CC=CC2=C1N=CC=C2)C3=CC=C(C=C3)OC,Inactive,0,,,,,,1,0,,,,,,-7.93815,-7.93815,15,-12.356,1.2,19.5,-8.333,-0.278,-9.679,-12.356,-5.404,-8.004,-11.656,-6.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,57261526,16297374,CC1=CC(=C(C=C1)OC)NC(=O)C(C2=CC=CC=C2)N3CCN(CC3)CC(=O)N4CCOCC4,Inactive,0,,,,,,1,0,,,,,,-2.18583,-2.18583,11,-15.034,0.16,19.5,-15.034,3.045,-7.186,5.35,1.385,,-5.488,-0.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,49644892,3152396,CC1=NC=CN1CC(COC2=C(C=C(C=C2)Cl)Cl)O,Inactive,0,,,,,,1,0,,,,,,-6.1193,-6.1193,9,-25.279,0.3,19.5,-9.62,-25.279,4.776,,-4.154,-5.062,,-6.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,85199442,4875597,CN(CC(=O)NC1=C(C=CC(=C1)Cl)OC)C(=O)C2COC3=CC=CC=C3O2,Inactive,0,,,,,,1,0,,,,,,-9.01064,-9.01064,12,-22.743,10,19.5,-2.165,-14.753,13.509,-5.363,-15.275,-0.342,-22.743,-19.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,26730921,2822645,COC(=O)C(CC1=CSC2=C1C=C(C=C2)Cl)NC(=O)C3=CC=C(C=C3)Cl,Inactive,0,,,,,,1,0,,,,,,3.29573,3.29573,11,-19.611,0.16,19.5,-19.611,17.579,-6.116,15.051,,10.044,-10.415,4.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,49826361,24819308,C1CC(CN(C1)C(=O)C2=NOC(=C2)C3CC3)N4CCN(CC4)C5=CC=CC(=C5)C(F)(F)F,Inactive,0,,,,,,1,0,,,,,,-2.66246,-2.66246,13,-13.759,2.6,19.5,-13.656,-10.636,12.832,1.18,-13.759,1.159,-6.641,8.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,99456301,46943749,CC1(C2=C(C=CC(=C2)C3=CN=CC=C3)NC1=O)CC4=CC(=CC=C4)F,Inactive,0,,,,,,1,0,,,,,,2.49825,2.49825,13,13.602,0.3,19.5,0.648,13.602,-2.03,-5.304,3.424,6.053,,-0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,125305889,53383219,CC1=CSC(=C1)C2=NC3=CC=CC=C3N2C(C4=CC=CC=C4)C(=O)NC(C)(C)C,Inactive,0,,,,,,1,0,,,,,,-3.56273,-3.56273,15,-21.254,19.5,19.5,1.527,-1.458,7.439,-7.058,5.031,-6.114,-7.89,-21.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,47197300,23723502,COC1=CC=CC=C1CN2CCCC(C2)N3CCN(CC3)C4=CC=CC=C4OC,Inactive,0,,,,,,1,0,,,,,,1.66733,1.66733,11,12.847,10,19.5,7.917,-2.04,,2.839,-3.174,3.082,12.847,-5.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,47199531,4782463,CC(C1=CC=CC=C1)NC(=O)CN2CCN(CC2)C3=CC(=CC=C3)Cl,Inactive,0,,,,,,1,0,,,,,,-0.595705,-0.595705,14,7.789,0.6,19.5,-2.911,2.117,7.789,7.228,-4.188,-7.718,-1.064,-0.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,56322349,24982056,CC1=CC(=C(C=C1)Cl)OCC(=O)NCC(C2=CC=C(C=C2)OC)N3CCCCC3,Inactive,0,,,,,,1,0,,,,,,-1.58604,-1.58604,15,-14.406,2.6,19.5,3.434,-2.61,0.001,1.433,-14.406,1.526,4.975,-7.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,46500950,5309294,CCOC1=CC=C(C=C1)N(CC(=O)NC2CCCC(C2C)C)S(=O)(=O)C3=C(ON=C3C)C,Inactive,0,,,,,,1,0,,,,,,-0.774422,-0.774422,12,-13.184,19.5,19.5,9.013,-1.132,-3.222,8.401,-2.936,4.826,-0.785,-13.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,49825479,24818957,CC1=CC2=C(C=C1)OC(=C2C)C(=O)N(CC3CCCO3)CC4=CC=NC=C4,Inactive,0,,,,,,1,0,,,,,,9.96137,9.96137,12,28.804,0.16,19.5,28.804,23.815,,10.606,,3.691,-2.459,-4.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,26663486,3567067,CC1CC2=CC=CC=C2N1S(=O)(=O)C3=CC(=C(N=C3)Cl)Br,Inactive,0,,,,,,1,0,,,,,,14.2258,14.2258,12,25.193,5,19.5,-6.041,20.432,20.102,8.93,17.106,25.193,14.733,10.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,47200659,23724190,CC(C1=CC=CC=C1)NCC2=C(C=CC3=CC=CC=C32)OC.C(=O)(C(=O)O)O,Inactive,0,,,,,,1,0,,,,,,-2.22496,-2.22496,13,-19.353,19.5,19.5,16.275,8.166,1.563,-4.644,-5.356,-6.962,-8.37,-19.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,103060634,4905214,CC1=CC2=C(C(=C(C(=O)O2)C)C)C(=C1)OC(C)C(=O)NC3CC(NC(C3)(C)C)(C)C,Active,55,,,=,2.89,5.539,2,55,,=,2.89,5.539,0.5,0,100,12,50.161,19.5,19.5,11.512,20.547,28.299,31.653,15.278,28.641,44.892,50.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,56320107,24981177,CC1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)CC(=O)NC3=CC=CC=C3C(=O)NC4CCCC4)C,Inactive,0,,,,,,1,0,,,,,,-5.64192,-5.64192,11,-20.025,5,19.5,-7.249,-0.55,,6.135,-6.906,-20.025,5.746,-15.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,49669137,24761435,COC1=CC=C(C=C1)N2CCN(CC2)CC(COC3=CC=C(C=C3)F)O.Cl,Inactive,0,,,,,,1,0,,,,,,-1.329,-1.329,10,9.704,1.2,19.5,0.902,2.692,-3.482,9.704,5.383,-6.729,,-9.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
