PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Calu_1_Mean,Calu_1[1],Calu_1[2],Calu_1[3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Averaged Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration
RESULT_UNIT,,,,,,,,PERCENT,PERCENT,PERCENT,PERCENT
112,126496636,53470020,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=NN=CC=C4.C(=O)(C(F)(F)F)O,Inactive,0,,M37_lib_25,104.999,94.6928,112.866,107.439
113,126496637,53470022,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CN=CO4.C(=O)(C(F)(F)F)O,Inactive,0,,M4B_lib_25,98.0235,90.9721,102.267,100.832
114,126496638,53470024,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CSC=N4.C(=O)(C(F)(F)F)O,Inactive,0,,M30_lib_25,92.4147,85.3856,93.0518,98.8066
115,126496639,53470026,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CN=NC=C4.C(=O)(C(F)(F)F)O,Inactive,0,,M49_lib_25,104.215,100.882,98.1587,113.603
116,126496640,53470028,C1CC(C1)(C2=CC=CC=C2)C(=O)NCCN3CCC4(CC3)C(=O)NCN4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,M6E_lib_25,94.9346,78.3638,100.211,106.229
117,126496641,53470030,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CC(=C(C=C4)N)OC(F)(F)F.C(=O)(C(F)(F)F)O,Inactive,0,,M6Y_lib_25,91.4612,75.2192,86.4224,112.742
118,126496642,53470032,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=C(C=CC=C4Cl)N.C(=O)(C(F)(F)F)O,Inactive,0,,M5P_lib_25,92.9011,80.7353,93.0071,104.961
119,126496643,53470034,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CC(=NO4)C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,M6H_lib_25,97.3966,81.9101,104.847,105.433
120,126496644,53470036,C[C@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC(=C(O4)Br)Br.C(=O)(C(F)(F)F)O,Inactive,0,,N71_lib_25,71.8061,74.7229,65.8267,74.8687
121,126496645,46938431,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,100,,NLP_lib_25,43.9871,41.2739,42.9804,47.707
122,126496646,53470038,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CN=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,NM2_lib_25,117.311,94.3375,122.375,135.22
123,126496647,53470040,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCC(=O)NCC4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,NMN_lib_25,98.8993,92.9391,97.8545,105.904
124,126496648,53470042,C[C@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,100,,JXV_lib_23,2.45568,-1.50857,5.2813,3.59432
125,126496649,53470044,C[C@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,100,,JVN_lib_23,34.8101,36.0895,37.5374,30.8033
126,126496650,53470046,C[C@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)C4=CC5=CC=CC=C5C=C4,Active,100,,JVF_lib_23,16.1565,17.4027,16.641,14.4257
127,126496651,53470047,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Active,100,,JW5_lib_23,13.7462,12.5873,15.5025,13.1487
128,126496652,53470048,C[C@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)C4=CC5=CC=CC=C5N4.C(=O)(C(F)(F)F)O,Active,100,,JV2_lib_23,0.88772,0.897746,0.34449,1.42092
129,126496653,53470050,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,JXQ_lib_23,79.0003,80.6704,78.1656,78.165
